时间,牧草2,风蚀,木材,渗滤径流,矿石
1600,25888.799999999996,294435.03345,0,352167.39294999995,0
1601,25888.799999999996,294568.96251,0,352327.58261,0
1602,25888.799999999996,294702.692925,0,352487.534675,0
1603,25888.799999999996,294836.025795,0,352647.0112449999,0
1604,25888.799999999996,294968.76222000003,0,352805.77442000003,0
1605,25888.799999999996,295100.70381000004,0,352963.5869099999,0
1606,25888.799999999996,295231.651665,0,353120.210815,0
1607,25888.799999999996,295361.406885,0,353275.408235,0
1608,25888.799999999996,295489.77108000003,0,353428.94187999994,0
1609,25888.799999999996,295616.545095,0,353580.573545,0
1610,25888.799999999996,295741.5302849999,0,353730.06563499995,0
1611,25888.799999999996,295864.52800500003,0,353877.1805549999,0
1612,25888.799999999996,295985.339355,0,354021.680405,0
1613,25888.799999999996,296103.765945,0,354163.327895,0
1614,25888.799999999996,296219.608365,0,354301.884515,0
1615,25888.799999999996,296332.66847999993,0,354437.11328,0
1616,25888.799999999996,296442.74739,0,354568.77628999995,0
1617,25888.799999999996,296549.64594,0,354696.6353399999,0
1618,25888.799999999996,296653.165995,0,354820.453445,0
1619,25888.799999999996,296753.10839999997,0,354939.9924,0
1620,25888.799999999996,296849.27451,0,355055.01461,0
1621,25888.799999999996,296941.46567999996,0,355165.28247999994,0
1622,25888.799999999996,297029.482755,0,355270.55780499993,0
1623,25888.799999999996,297113.1276,0,355370.6036,0
1624,25888.799999999996,297192.20080500003,0,355465.18135499995,0
1625,25888.799999999996,297266.50423499994,0,355554.054085,0
1626,25888.799999999996,297335.83873500006,0,355636.983585,0
1627,25888.799999999996,297400.00565999997,0,355713.73225999996,0
1628,25888.799999999996,297458.80636499997,0,355784.06251499994,0
1629,25888.799999999996,297512.04195000004,0,355847.73645,0
1630,25888.799999999996,297559.51683,0,355904.52012999996,0
1631,25888.799999999996,297601.1619,0,355954.3309,0
1632,25888.799999999996,297637.071255,0,355997.281305,0
1633,25888.799999999996,297667.35097499995,0,356033.498225,0
1634,25888.799999999996,297692.105865,0,356063.10701499996,0
1635,25888.799999999996,297711.441495,0,356086.2339449999,0
1636,25888.799999999996,297725.46369,0,356103.00559,0
1637,25888.799999999996,297734.27751,0,356113.54760999995,0
1638,25888.799999999996,297737.98852499994,0,356117.986275,0
1639,25888.799999999996,297736.70205,0,356116.44755,0
1640,25888.799999999996,297730.523655,0,356109.0577049999,0
1641,25888.799999999996,297719.558655,0,356095.94270500005,0
1642,25888.799999999996,297703.91261999996,0,356077.22882,0
1643,25888.799999999996,297683.690865,0,356053.042015,0
1644,25888.799999999996,297658.99895999994,0,356023.50856,0
1645,25888.799999999996,297629.942475,0,355988.754725,0
1646,25888.799999999996,297596.62647,0,355948.90617,0
1647,25888.799999999996,297559.156515,0,355904.08916499995,0
1648,25888.799999999996,297517.63818,0,355854.42998,0
1649,25888.799999999996,297472.17678,0,355800.05458,0
1650,19219.62,314431.37763,0,376084.58892999997,0
1651,19219.62,314378.346555,0,376021.159605,0
1652,19219.62,314321.68887,0,375953.39257,0
1653,19219.62,314261.509635,0,375881.41348499997,0
1654,19219.62,314197.914675,0,375805.348925,0
1655,19219.62,314131.009305,0,375725.324855,0
1656,19219.62,314060.899095,0,375641.46754499996,0
1657,19219.62,313987.689105,0,375553.902655,0
1658,19219.62,313911.48516,0,375462.75676,0
1659,19219.62,313832.392575,0,375368.155825,0
1660,19219.62,313750.5169199999,0,375270.22611999995,0
1661,19219.62,313665.963255,0,375169.093305,0
1662,19219.62,313578.837405,0,375064.883955,0
1663,19219.62,313489.24442999996,0,374957.72372999997,0
1664,19219.62,313397.290155,0,374847.739205,0
1665,19219.62,313303.079895,0,374735.056345,0
1666,19219.62,313206.71921999997,0,374619.80142,0
1667,19219.62,313108.31319,0,374502.10009,0
1668,19219.62,313007.967375,0,374382.07862499997,0
1669,19219.62,312905.787345,0,374259.863295,0
1670,19219.62,312801.87841500004,0,374135.580065,0
1671,19219.62,312696.34615500004,0,374009.355205,0
1672,19219.62,312589.29588,0,373881.31468,0
1673,19219.62,312480.83316000004,0,373751.58476,0
1674,19219.62,312371.06356499996,0,373620.291715,0
1675,19219.62,312260.09189999994,0,373487.5608999999,0
1676,19219.62,312148.0242449999,0,373353.519195,0
1677,19219.62,312034.96591500007,0,373218.292565,0
1678,19219.62,311921.02196999994,0,373082.0066699999,0
1679,19219.62,311806.29823499994,0,372944.78808499995,0
1680,19219.62,311690.90028,0,372806.76308,0
1681,19219.62,311574.93291000003,0,372668.05701,0
1682,19219.62,311458.5022050001,0,372528.796755,0
1683,19219.62,311341.71348,0,372389.10828,0
1684,19219.62,311224.67179500003,0,372249.117245,0
1685,19219.62,311107.48272,0,372108.94992,0
1686,19219.62,310990.25208,0,371968.73288,0
1687,19219.62,310873.08493499993,0,371828.59178499994,0
1688,19219.62,310756.08685500006,0,371688.652905,0
1689,19219.62,310639.36341000005,0,371549.04251000006,0
1690,22849.68,310523.01966,0,371409.88625999994,0
1691,22849.68,310407.16117499996,0,371271.31042500003,0
1692,22849.68,310291.89378,0,371133.4415799999,0
1693,22849.68,310177.32228,0,370996.40508,0
1694,22849.68,310063.552755,0,370860.327805,0
1695,22849.68,309950.69026500004,0,370725.335415,0
1696,22849.68,309838.840125,0,370591.553875,0
1697,22849.68,309728.10816000006,0,370459.10975999996,0
1698,22849.68,309618.59943,0,370328.12872999994,0
1699,22849.68,309510.41976,0,370198.73735999997,0
1700,22849.68,309403.67420999997,0,370071.06130999996,0
1701,22849.68,309298.46860500006,0,369945.227155,0
1702,22849.68,309194.908005,0,369821.360555,0
1703,22849.68,309093.09797999996,0,369699.58778,0
1704,22849.68,308993.14409999986,0,369580.03510000004,0
1705,22849.68,308895.151425,0,369462.828175,0
1706,22849.68,308799.226035,0,369348.0938849999,0
1707,22849.68,308705.4727350001,0,369235.95758499997,0
1708,22849.68,308613.99735,0,369126.54585,0
1709,22849.68,308524.90519500006,0,369019.98464499996,0
1710,22849.68,308438.30184000003,0,368916.40024,0
1711,22849.68,308354.29234499997,0,368815.918295,0
1712,22849.68,308272.982535,0,368718.665385,0
1713,22849.68,308194.477725,0,368624.767475,0
1714,22849.68,308118.88323,0,368534.35053,0
1715,22849.68,308046.30462000007,0,368447.54082000005,0
1716,22849.68,307976.84721000004,0,368364.46431,0
1717,22849.68,307910.61657,0,368285.24727,0
1718,22849.68,307847.7182699999,0,368210.01596999995,0
1719,22849.68,307788.219885,0,368138.851235,0
1720,22849.68,307732.039305,0,368071.654855,0
1721,22849.68,307679.05719,0,368008.28409000003,0
1722,22849.68,307629.153435,0,367948.59528499993,0
1723,22849.68,307582.20819,0,367892.44509,0
1724,22849.68,307538.10237,0,367839.69107,0
1725,22849.68,307496.715615,0,367790.189265,0
1726,22849.68,307457.928585,0,367743.796935,0
1727,22849.68,307421.621175,0,367700.370425,0
1728,22849.68,307387.67429999996,0,367659.7672999999,0
1729,22849.68,307355.967855,0,367621.843905,0
1730,22849.68,307326.38198999997,0,367586.45689,0
1731,22849.68,307298.79736500006,0,367553.463515,0
1732,22849.68,307273.09387499996,0,367522.720125,0
1733,22849.68,307249.1521799999,0,367494.08398,0
1734,22849.68,307226.85217499995,0,367467.411425,0
1735,22849.68,307206.07452,0,367442.55972,0
1736,22849.68,307186.699365,0,367419.385515,0
1737,22849.68,307168.60685999994,0,367397.74546,0
1738,22849.68,307151.67741,0,367377.49651,0
1739,22849.68,307135.79141999985,0,367358.49562,0
1740,37707.59999999999,307120.82904000004,0,367340.59944,0
1741,37707.59999999999,307106.67042,0,367323.66462,0
1742,37707.59999999999,307093.19622,0,367307.54842,0
1743,37707.59999999999,307080.286335,0,367292.10718500003,0
1744,37707.59999999999,307067.82142500003,0,367277.198175,0
1745,37707.59999999999,307055.681385,0,367262.677735,0
1746,37707.59999999999,307043.74662,0,367248.40281999996,0
1747,37707.59999999999,307031.897535,0,367234.23038500006,0
