"时间","5.1-N2矸石量","5.1-N6高品矿量","5.2-N2尾矿量","5.1-5.2高品矿量","5.1-N14高品矿量","5.2-N12废水处理","5.2-N3废水入水体","5.2-N6精品矿量"
"1600","0","0","0","0","0","0","0","0"
"1601","0","0","0","0","0","0","0","0"
"1602","0","0","0","0","0","0","0","0"
"1603","0","0","0","0","0","0","0","0"
"1604","0","0","0","0","0","0","0","0"
"1605","0","0","0","0","0","0","0","0"
"1606","0","0","0","0","0","0","0","0"
"1607","0","0","0","0","0","0","0","0"
"1608","0","0","0","0","0","0","0","0"
"1609","0","0","0","0","0","0","0","0"
"1610","0","0","0","0","0","0","0","0"
"1611","0","0","0","0","0","0","0","0"
"1612","0","0","0","0","0","0","0","0"
"1613","0","0","0","0","0","0","0","0"
"1614","0","0","0","0","0","0","0","0"
"1615","0","0","0","0","0","0","0","0"
"1616","0","0","0","0","0","0","0","0"
"1617","0","0","0","0","0","0","0","0"
"1618","0","0","0","0","0","0","0","0"
"1619","0","0","0","0","0","0","0","0"
"1620","0","0","0","0","0","0","0","0"
"1621","0","0","0","0","0","0","0","0"
"1622","0","0","0","0","0","0","0","0"
"1623","0","0","0","0","0","0","0","0"
"1624","0","0","0","0","0","0","0","0"
"1625","0","0","0","0","0","0","0","0"
"1626","0","0","0","0","0","0","0","0"
"1627","0","0","0","0","0","0","0","0"
"1628","0","0","0","0","0","0","0","0"
"1629","0","0","0","0","0","0","0","0"
"1630","0","0","0","0","0","0","0","0"
"1631","0","0","0","0","0","0","0","0"
"1632","0","0","0","0","0","0","0","0"
"1633","0","0","0","0","0","0","0","0"
"1634","0","0","0","0","0","0","0","0"
"1635","0","0","0","0","0","0","0","0"
"1636","0","0","0","0","0","0","0","0"
"1637","0","0","0","0","0","0","0","0"
"1638","0","0","0","0","0","0","0","0"
"1639","0","0","0","0","0","0","0","0"
"1640","0","0","0","0","0","0","0","0"
"1641","0","0","0","0","0","0","0","0"
"1642","0","0","0","0","0","0","0","0"
"1643","0","0","0","0","0","0","0","0"
"1644","0","0","0","0","0","0","0","0"
"1645","0","0","0","0","0","0","0","0"
"1646","0","0","0","0","0","0","0","0"
"1647","0","0","0","0","0","0","0","0"
"1648","0","0","0","0","0","0","0","0"
"1649","0","0","0","0","0","0","0","0"
"1650","0","0","0","0","0","0","0","0"
"1651","0","0","0","0","0","0","0","0"
"1652","0","0","0","0","0","0","0","0"
"1653","0","0","0","0","0","0","0","0"
"1654","0","0","0","0","0","0","0","0"
"1655","0","0","0","0","0","0","0","0"
"1656","0","0","0","0","0","0","0","0"
"1657","0","0","0","0","0","0","0","0"
"1658","0","0","0","0","0","0","0","0"
"1659","0","0","0","0","0","0","0","0"
"1660","0","0","0","0","0","0","0","0"
"1661","0","0","0","0","0","0","0","0"
"1662","0","0","0","0","0","0","0","0"
"1663","0","0","0","0","0","0","0","0"
"1664","0","0","0","0","0","0","0","0"
"1665","0","0","0","0","0","0","0","0"
"1666","0","0","0","0","0","0","0","0"
"1667","0","0","0","0","0","0","0","0"
"1668","0","0","0","0","0","0","0","0"
"1669","0","0","0","0","0","0","0","0"
"1670","0","0","0","0","0","0","0","0"
"1671","0","0","0","0","0","0","0","0"
"1672","0","0","0","0","0","0","0","0"
"1673","0","0","0","0","0","0","0","0"
"1674","0","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0","0"
