"时间","N6-14磷肥","N6-12处理废水","N6-2固废","N6-3废水","N6.1-6.3.3磷石膏","N6.1-7磷肥","N6.2-10.2饲料添加剂","N6.3-6.3.1黄磷","N6.3-6.3.2黄磷","N6.3-6.3.3黄磷","N6.3-6.3.3磷铁副产品","N6.3-6.3.3炉渣","N6.3-14黄磷"
"1600","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1601","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1602","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1603","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1604","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1605","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1606","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1607","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1608","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1609","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1610","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1611","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1612","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1613","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1614","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1615","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1616","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1617","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1618","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1619","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1620","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1622","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1623","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1624","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1625","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1626","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1627","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1628","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1629","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1630","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1631","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1632","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1633","0","0","0","0","0","0","0","0","0","0","0","0","0"
