时间,作物净出口含磷量,径流,渗滤,风蚀,农产品加工的作物含磷量,用作燃料秸秆含磷量kt,用作饲料秸秆含磷量kt,未利用秸秆含磷量kt
1600,0,0,0,0,423.1024311,115.6947833,26.69879614,26.69879614
1601,0,0,0,0,420.5373641,114.9836766,26.53469461,26.53469461
1602,0,0,0,0,417.9592374,114.2691667,26.36980771,26.36980771
1603,0,0,0,0,415.3735232,113.5527491,26.20448057,26.20448057
1604,0,0,0,0,412.7857488,112.835934,26.03906169,26.03906169
1605,0,0,0,0,410.2014961,112.1202459,25.8739029,25.8739029
1606,0,0,0,0,407.6264016,111.4072239,25.70935936,25.70935936
1607,0,0,0,0,405.0661572,110.6984216,25.54578961,25.54578961
1608,0,0,0,0,402.5265094,109.9954072,25.38355551,25.38355551
1609,0,0,0,0,400.0132593,109.2997632,25.22302227,25.22302227
1610,0,0,0,0,397.5322631,108.6130867,25.06455846,25.06455846
1611,0,0,0,0,395.0894318,107.9369892,24.90853597,24.90853597
1612,0,0,0,0,392.6907313,107.2730969,24.75533006,24.75533006
1613,0,0,0,0,390.3421823,106.6230504,24.60531932,24.60531932
1614,0,0,0,0,388.0498601,105.9885047,24.4588857,24.4588857
1615,0,0,0,0,385.8198952,105.3711294,24.31641447,24.31641447
1616,0,0,0,0,383.6584728,104.7726085,24.17829427,24.17829427
1617,0,0,0,0,381.5718328,104.1946407,24.04491708,24.04491708
1618,0,0,0,0,379.5662702,103.6389389,23.91667821,23.91667821
1619,0,0,0,0,377.6481346,103.1072308,23.79397635,23.79397635
1620,0,0,0,0,375.8238307,102.6012584,23.67721348,23.67721348
1621,0,0,0,0,373.5277165,101.9715443,23.53189483,23.53189483
1622,0,0,0,0,371.3460981,101.3731264,23.3937984,23.3937984
1623,0,0,0,0,369.2849716,100.8076389,23.26330128,23.26330128
1624,0,0,0,0,367.3503529,100.2767211,23.14078179,23.14078179
1625,0,0,0,0,365.5482783,99.78201773,23.02661948,23.02661948
1626,0,0,0,0,363.8848042,99.32517879,22.9211951,22.9211951
1627,0,0,0,0,362.3660068,98.90785956,22.82489067,22.82489067
1628,0,0,0,0,360.9979829,98.53172072,22.7380894,22.7380894
1629,0,0,0,0,359.7868489,98.19842817,22.66117573,22.66117573
1630,0,0,0,0,358.7386484,97.90962775,22.59452948,22.59452948
1631,0,0,0,0,357.8558146,97.6659798,22.53830303,22.53830303
1632,0,0,0,0,357.1360687,97.46685858,22.49235198,22.49235198
1633,0,0,0,0,356.5768062,97.31154962,22.45651145,22.45651145
1634,0,0,0,0,356.1754122,97.19933564,22.43061592,22.43061592
1635,0,0,0,0,355.929261,97.12949656,22.41449921,22.41449921
1636,0,0,0,0,355.8357164,97.10130947,22.40799449,22.40799449
1637,0,0,0,0,355.8921313,97.11404863,22.4109343,22.4109343
1638,0,0,0,0,356.0958481,97.16698551,22.4231505,22.4231505
1639,0,0,0,0,356.4441985,97.2593887,22.44447431,22.44447431
1640,0,0,0,0,356.9345036,97.39052403,22.47473631,22.47473631
1641,0,0,0,0,357.5640736,97.5596545,22.51376642,22.51376642
1642,0,0,0,0,358.3302083,97.76604026,22.56139391,22.56139391
1643,0,0,0,0,359.2301966,98.00893866,22.61744738,22.61744738
1644,0,0,0,0,360.2613169,98.28760425,22.68175483,22.68175483
1645,0,0,0,0,361.4208371,98.60128873,22.75414355,22.75414355
1646,0,0,0,0,362.7060139,98.94924097,22.83444022,22.83444022
1647,0,0,0,0,364.1140938,99.33070706,22.92247086,22.92247086
1648,0,0,0,0,365.6423124,99.74493024,23.01806083,23.01806083
1649,0,0,0,0,367.2878949,100.191151,23.12103484,23.12103484
1650,0,0,0,0,369.0480555,100.6686068,23.23121695,23.23121695
1651,0,0,0,0,370.9199979,101.1765326,23.34843059,23.34843059
1652,0,0,0,0,372.9009151,101.7141602,23.47249851,23.47249851
1653,0,0,0,0,374.9879895,102.2807189,23.60324283,23.60324283
1654,0,0,0,0,377.1783927,102.875435,23.740485,23.740485
1655,0,0,0,0,379.4692858,103.497532,23.88404584,23.88404584
1656,0,0,0,0,381.8578191,104.1462305,24.0337455,24.0337455
1657,0,0,0,0,384.3411322,104.8207485,24.18940349,24.18940349
1658,0,0,0,0,386.9163543,105.520301,24.35083868,24.35083868
1659,0,0,0,0,389.5806036,106.2441002,24.51786927,24.51786927
1660,0,0,0,0,392.3309877,106.9913555,24.69031281,24.69031281
1661,0,0,0,0,395.1646039,107.7612736,24.86798621,24.86798621
1662,0,0,0,0,398.0785382,108.5530581,25.05070573,25.05070573
1663,0,0,0,0,401.0698664,109.3659102,25.23828696,25.23828696
1664,0,0,0,0,404.1356536,110.1990278,25.43054487,25.43054487
1665,0,0,0,0,407.2729541,111.0516063,25.62729376,25.62729376
1666,0,0,0,0,410.4788116,111.9228382,25.82834727,25.82834727
1667,0,0,0,0,413.7502589,112.8119131,26.03351841,26.03351841
1668,0,0,0,0,417.0843185,113.718018,26.24261953,26.24261953
1669,0,0,0,0,420.4780021,114.6403368,26.45546233,26.45546233
1670,0,0,0,0,423.9283106,115.5780507,26.67185786,26.67185786
1671,0,0,0,0,427.4322344,116.5303382,26.89161651,26.89161651
1672,0,0,0,0,430.9867531,117.4963748,27.11454803,27.11454803
1673,0,0,0,0,434.5888358,118.4753333,27.34046153,27.34046153
1674,0,0,0,0,438.2354408,119.4663836,27.56916544,27.56916544
1675,0,0,0,0,441.9235157,120.4686928,27.80046756,27.80046756
1676,0,0,0,0,445.6499976,121.4814252,28.03417504,28.03417504
1677,0,0,0,0,449.4118127,122.5037423,28.27009437,28.27009437
1678,0,0,0,0,453.2058768,123.5348027,28.50803139,28.50803139
1679,0,0,0,0,457.0290948,124.5737623,28.7477913,28.7477913
1680,0,0,0,0,460.878361,125.619774,28.98917863,28.98917863
1681,0,0,0,0,464.7505591,126.6719882,29.23199727,29.23199727
1682,0,0,0,0,468.6425622,127.7295521,29.47605048,29.47605048
1683,0,0,0,0,472.5512326,128.7916103,29.72114083,29.72114083
1684,0,0,0,0,476.4734218,129.8573045,29.96707026,29.96707026
1685,0,0,0,0,480.4059709,130.9257736,30.21364007,30.21364007
1686,0,0,0,0,484.3457101,131.9961538,30.46065088,30.46065088
1687,0,0,0,0,488.2894594,133.0675783,30.7079027,30.7079027
1688,0,0,0,0,492.2340273,134.1391776,30.95519483,30.95519483
1689,0,0,0,0,496.1762126,135.2100793,31.202326,31.202326
1690,0,0,0,0,500.1128026,136.2794082,31.4490942,31.4490942
1691,0,0,0,0,504.0405745,137.3462863,31.69529684,31.69529684
1692,0,0,0,0,507.9562946,138.4098328,31.94073065,31.94073065
1693,0,0,0,0,511.8567183,139.4691641,32.1851917,32.1851917
