时间,牧草量,饲料量,出栏畜禽,蛋类,奶类,粪便堆存量,粪便排放量,粪便还田量
1600,66.30811408,5.978847384,3.503602223,1.226953516,0,3.77868885,8.908956338,76.4019182
1601,65.6990371,5.903560943,3.481143234,1.225910964,0,3.765243532,8.858583298,75.96200615
1602,65.34134163,5.872057951,3.458684245,1.224868832,0,3.751798214,8.808210258,75.5220941
1603,64.98364616,5.840555379,3.436225257,1.223827118,0,3.738352895,8.757837217,75.08218206
1604,64.62595068,5.809053226,3.413766268,1.222785823,0,3.724907577,8.707464177,74.64227001
1605,64.26825521,5.777551492,3.39130728,1.221744946,0,3.711462259,8.657091136,74.20235797
1606,63.91055974,5.746050176,3.368848291,1.220704489,0,3.69801694,8.606718096,73.76244592
1607,63.55286426,5.714549279,3.346389303,1.21966445,0,3.684571622,8.556345055,73.32253387
1608,63.19516878,5.683048801,3.323930314,1.21862483,0,3.671126304,8.505972013,72.88262182
1609,62.83747331,5.651548741,3.301471325,1.217585628,0,3.657680986,8.455598973,72.44270977
1610,62.47977783,5.620049101,3.279012337,1.216546845,0,3.644235667,8.405225933,72.00279773
1611,62.12208236,5.588549878,3.256553348,1.215508482,0,3.630790349,8.354852892,71.56288568
1612,61.76438689,5.557051075,3.234094359,1.214470537,0,3.617345031,8.304479852,71.12297363
1613,61.40669141,5.52555269,3.211635371,1.21343301,0,3.603899712,8.254106811,70.68306159
1614,61.04899594,5.494054725,3.189176382,1.212395903,0,3.590454394,8.20373377,70.24314954
1615,60.69130045,5.462557178,3.166717394,1.211359214,0,3.577009076,8.153360729,69.80323748
1616,60.33360498,5.43106005,3.144258405,1.210322944,0,3.563563758,8.102987688,69.36332544
1617,59.97590951,5.39956334,3.121799417,1.209287092,0,3.55011844,8.052614648,68.92341339
1618,59.61821404,5.36806705,3.099340428,1.20825166,0,3.536673122,8.002241608,68.48350135
1619,59.26051856,5.336571177,3.076881439,1.207216646,0,3.523227803,7.951868567,68.0435893
1620,58.90282309,5.305075724,3.05442245,1.206182051,0,3.509782485,7.901495526,67.60367725
1621,58.54512761,5.27358069,3.031963462,1.205147874,0,3.496337166,7.851122486,67.16376521
1622,58.18743214,5.242086074,3.009504473,1.204114117,0,3.482891848,7.800749445,66.72385316
1623,57.82973666,5.210591877,2.987045485,1.203080778,0,3.46944653,7.750376404,66.28394111
1624,57.47204118,5.179098099,2.964586496,1.202047858,0,3.456001212,7.700003364,65.84402906
1625,57.11434571,5.147604739,2.942127508,1.201015356,0,3.442555894,7.649630323,65.40411702
1626,56.75665023,5.116111798,2.919668519,1.199983274,0,3.429110575,7.599257282,64.96420497
1627,56.55219243,5.103557814,2.902859987,1.199211127,0,3.419047965,7.561557595,64.63497039
1628,56.28448957,5.07998869,2.886051455,1.198439214,0,3.408985354,7.523857908,64.30573582
1629,56.01678669,5.056419802,2.869242924,1.197667537,0,3.398922743,7.48615822,63.97650124
1630,55.74908383,5.032851147,2.852434392,1.196896093,0,3.388860132,7.448458533,63.64726667
1631,55.48138095,5.009282728,2.835625861,1.196124884,0,3.378797522,7.410758846,63.31803209
1632,55.21367808,4.985714543,2.818817329,1.19535391,0,3.368734912,7.373059158,62.98879751
1633,54.94597522,4.962146592,2.802008797,1.194583171,0,3.358672301,7.335359471,62.65956294
1634,54.67827234,4.938578876,2.785200266,1.193812665,0,3.34860969,7.297659784,62.33032836
1635,54.41056948,4.915011395,2.768391734,1.193042395,0,3.338547079,7.259960097,62.00109379
1636,54.1428666,4.891444148,2.751583202,1.192272359,0,3.328484469,7.222260409,61.67185921
1637,53.87516373,4.867877136,2.734774671,1.191502557,0,3.318421858,7.184560722,61.34262464
1638,53.60746087,4.844310358,2.717966139,1.19073299,0,3.308359247,7.146861035,61.01339007
1639,53.33975799,4.820743815,2.701157607,1.189963658,0,3.298296637,7.109161347,60.68415549
1640,53.07205512,4.797177506,2.684349076,1.18919456,0,3.288234026,7.071461659,60.35492091
1641,52.80435225,4.773611432,2.667540544,1.188425697,0,3.278171415,7.033761973,60.02568634
1642,52.53664938,4.750045593,2.650732012,1.187657068,0,3.268108805,6.996062285,59.69645176
1643,52.26894652,4.726479988,2.633923481,1.186888674,0,3.258046194,6.958362598,59.36721719
1644,52.00124364,4.702914617,2.617114949,1.186120515,0,3.247983583,6.92066291,59.03798261
1645,51.73354077,4.679349481,2.600306417,1.185352589,0,3.237920973,6.882963223,58.70874803
1646,51.4658379,4.65578458,2.583497886,1.184584899,0,3.227858362,6.845263536,58.37951346
1647,51.79607605,4.706113125,2.588737718,1.184824191,0,3.230995245,6.857015902,58.48214787
1648,51.87952879,4.713459161,2.593977549,1.185063506,0,3.234132127,6.868768268,58.58478229
1649,51.96298153,4.72080522,2.599217381,1.185302843,0,3.23726901,6.880520635,58.6874167
1650,52.04643427,4.728151301,2.604457213,1.185542204,0,3.240405892,6.892273,58.79005111
1651,52.12988701,4.735497406,2.609697044,1.185781587,0,3.243542774,6.904025367,58.89268553
1652,52.21333974,4.742843533,2.614936876,1.186020993,0,3.246679656,6.915777733,58.99531994
1653,52.29679248,4.750189683,2.620176708,1.186260421,0,3.249816539,6.927530099,59.09795435
1654,52.38024523,4.757535856,2.62541654,1.186499873,0,3.252953421,6.939282466,59.20058877
1655,52.46369796,4.764882052,2.630656372,1.186739347,0,3.256090304,6.951034832,59.30322318
1656,52.54715069,4.77222827,2.635896203,1.186978844,0,3.259227186,6.962787197,59.40585759
1657,52.63060344,4.779574511,2.641136035,1.187218364,0,3.262364068,6.974539564,59.50849201
1658,52.71405618,4.786920775,2.646375867,1.187457907,0,3.265500951,6.98629193,59.61112642
1659,52.79750891,4.794267061,2.651615699,1.187697472,0,3.268637833,6.998044296,59.71376083
1660,52.88096166,4.801613371,2.656855531,1.18793706,0,3.271774716,7.009796663,59.81639525
1661,52.9644144,4.808959703,2.662095362,1.188176671,0,3.274911598,7.021549029,59.91902966
1662,53.39113886,4.858728391,2.67999293,1.188995277,0,3.285626172,7.061691305,60.26959557
1663,53.65084878,4.880690222,2.696956204,1.189771395,0,3.295781421,7.099738063,60.60186114
1664,53.67951714,4.874628378,2.705014489,1.190140168,0,3.300605601,7.117811909,60.75970158
1665,53.78172888,4.882697397,2.712109284,1.190464894,0,3.304852977,7.133724753,60.8986698
1666,54.0166621,4.907714217,2.723700368,1.190995502,0,3.311792106,7.15972228,61.12570841
1667,54.07853972,4.90879842,2.730765966,1.191319,0,3.316022003,7.175569637,61.26410473
1668,54.16019051,4.914888638,2.736692893,1.191590397,0,3.319570223,7.188863083,61.38019752
1669,54.33376636,4.932984107,2.745539488,1.19199554,0,3.324866333,7.208705024,61.55347888
1670,54.417653,4.938342327,2.752283923,1.192304456,0,3.328903963,7.223832049,61.68558447
1671,54.53852955,4.949462204,2.759524701,1.192636147,0,3.333238733,7.240072316,61.82741211
1672,54.70294218,4.965681518,2.768575673,1.193050823,0,3.338657197,7.260372652,62.00469667
1673,54.86055405,4.980035523,2.778122989,1.193488312,0,3.344372801,7.281786231,62.19170328
1674,55.0126104,4.993421999,2.787670305,1.193925878,0,3.350088406,7.303199811,62.37870989
1675,55.16466675,5.006808551,2.797217621,1.194363519,0,3.355804011,7.32461339,62.5657165
1676,54.81551365,4.958252627,2.788283436,1.193953981,0,3.350455463,7.304574995,62.39071949
1677,54.67243059,4.945627971,2.779320053,1.193543171,0,3.345089437,7.284471114,62.21515059
