时间,养殖水产品,营养损失1,营养损失2
1600,0,1098.764744,248.4109452
1601,0,1098.764744,248.4109452
1602,0,1098.764744,248.4109452
1603,0,1098.764744,248.4109452
1604,0,1098.764744,248.4109452
1605,0,1098.764744,248.4109452
1606,0,1098.764744,248.4109452
1607,0,1098.764744,248.4109452
1608,0,1098.764744,248.4109452
1609,0,1098.764744,248.4109452
1610,0,1098.764744,248.4109452
1611,0,1098.764744,248.4109452
1612,0,1098.764744,248.4109452
1613,0,1098.764744,248.4109452
1614,0,1098.764744,248.4109452
1615,0,1098.764744,248.4109452
1616,0,1098.764744,248.4109452
1617,0,1098.764744,248.4109452
1618,0,1098.764744,248.4109452
1619,0,1098.764744,248.4109452
1620,0,1098.764744,248.4109452
1621,0,1098.764744,248.4109452
1622,0,1098.764744,248.4109452
1623,0,1098.764744,248.4109452
1624,0,1098.764744,248.4109452
1625,0,1098.764744,248.4109452
1626,0,1098.764744,248.4109452
1627,0,1098.764744,248.4109452
1628,0,1098.764744,248.4109452
1629,0,1098.764744,248.4109452
1630,0,1098.764744,248.4109452
1631,0,1098.764744,248.4109452
1632,0,1098.764744,248.4109452
1633,0,1098.764744,248.4109452
1634,0,1098.764744,248.4109452
1635,0,1098.764744,248.4109452
1636,0,1098.764744,248.4109452
1637,0,1098.764744,248.4109452
1638,0,1098.764744,248.4109452
1639,0,1098.764744,248.4109452
1640,0,1098.764744,248.4109452
1641,0,1098.764744,248.4109452
1642,0,1098.764744,248.4109452
1643,0,1098.764744,248.4109452
1644,0,1098.764744,248.4109452
1645,0,1098.764744,248.4109452
1646,0,1098.764744,248.4109452
1647,0,1098.764744,248.4109452
1648,0,1098.764744,248.4109452
1649,0,1098.764744,248.4109452
1650,0,1098.764744,248.4109452
1651,0,1098.764744,248.4109452
1652,0,1098.764744,248.4109452
1653,0,1098.764744,248.4109452
1654,0,1098.764744,248.4109452
1655,0,1098.764744,248.4109452
1656,0,1098.764744,248.4109452
1657,0,1098.764744,248.4109452
1658,0,1098.764744,248.4109452
1659,0,1098.764744,248.4109452
1660,0,1098.764744,248.4109452
1661,0,1098.764744,248.4109452
1662,0,1098.764744,248.4109452
1663,0,1098.764744,248.4109452
1664,0,1098.764744,248.4109452
1665,0,1098.764744,248.4109452
1666,0,1098.764744,248.4109452
1667,0,1098.764744,248.4109452
1668,0,1098.764744,248.4109452
1669,0,1098.764744,248.4109452
1670,0,1098.764744,248.4109452
1671,0,1098.764744,248.4109452
1672,0,1098.764744,248.4109452
1673,0,1098.764744,248.4109452
1674,0,1098.764744,248.4109452
1675,0,1098.764744,248.4109452
1676,0,1098.764744,248.4109452
1677,0,1098.764744,248.4109452
1678,0,1098.764744,248.4109452
1679,0,1098.764744,248.4109452
1680,0,1098.764744,248.4109452
1681,0,1098.764744,248.4109452
1682,0,1098.764744,248.4109452
1683,0,1098.764744,248.4109452
1684,0,1098.764744,248.4109452
1685,0,1098.764744,248.4109452
1686,0,1098.764744,248.4109452
1687,0,1098.764744,248.4109452
1688,0,1098.764744,248.4109452
1689,0,1098.764744,248.4109452
1690,0,1098.764744,248.4109452
1691,0,1098.764744,248.4109452
1692,0,1098.764744,248.4109452
1693,0,1098.764744,248.4109452
1694,0,1098.764744,248.4109452
1695,0,1098.764744,248.4109452
1696,0,1098.764744,248.4109452
1697,0,1098.764744,248.4109452
1698,0,1098.764744,248.4109452
1699,0,1098.764744,248.4109452
1700,0,1098.764744,248.4109452
1701,0,1098.764744,248.4109452
1702,0,1098.764744,248.4109452
1703,0,1098.764744,248.4109452
1704,0,1098.764744,248.4109452
1705,0,1098.764744,248.4109452
1706,0,1098.764744,248.4109452
1707,0,1098.764744,248.4109452
1708,0,1098.764744,248.4109452
1709,0,1098.764744,248.4109452
1710,0,1098.764744,248.4109452
1711,0,1098.764744,248.4109452
1712,0,1098.764744,248.4109452
1713,0,1098.764744,248.4109452
1714,0,1098.764744,248.4109452
1715,0,1098.764744,248.4109452
1716,0,1098.764744,248.4109452
1717,0,1098.764744,248.4109452
1718,0,1098.764744,248.4109452
1719,0,1098.764744,248.4109452
1720,0,1098.764744,248.4109452
1721,0,1098.764744,248.4109452
1722,0,1098.764744,248.4109452
1723,0,1098.764744,248.4109452
1724,0,1098.764744,248.4109452
1725,0,1098.764744,248.4109452
1726,0,1098.764744,248.4109452
1727,0,1098.764744,248.4109452
1728,0,1098.764744,248.4109452
1729,0,1098.764744,248.4109452
1730,0,1098.764744,248.4109452
1731,0,1098.764744,248.4109452
1732,0,1098.764744,248.4109452
1733,0,1098.764744,248.4109452
1734,0,1098.764744,248.4109452
1735,0,1098.764744,248.4109452
1736,0,1098.764744,248.4109452
1737,0,1098.764744,248.4109452
1738,0,1098.764744,248.4109452
1739,0,1098.764744,248.4109452
1740,0,1098.764744,248.4109452
1741,0,1098.764744,248.4109452
1742,0,1098.764744,248.4109452
1743,0,1098.764744,248.4109452
1744,0,1098.764744,248.4109452
1745,0,1098.764744,248.4109452
1746,0,1098.764744,248.4109452
1747,0,1098.764744,248.4109452
1748,0,1098.764744,248.4109452
1749,0,1098.764744,248.4109452
1750,0,1098.764744,248.4109452
1751,0,1098.764744,248.4109452
1752,0,1098.764744,248.4109452
1753,0,1098.764744,248.4109452
1754,0,1098.764744,248.4109452
1755,0,1098.764744,248.4109452
1756,0,1098.764744,248.4109452
1757,0,1098.764744,248.4109452
1758,0,1098.764744,248.4109452
1759,0,1098.764744,248.4109452
1760,0,1098.764744,248.4109452
1761,0,1098.764744,248.4109452
1762,0,1098.764744,248.4109452
1763,0,1098.764744,248.4109452
1764,0,1098.764744,248.4109452
1765,0,1098.764744,248.4109452
1766,0,1098.764744,248.4109452
1767,0,1098.764744,248.4109452
1768,0,1098.764744,248.4109452
1769,0,1098.764744,248.4109452
1770,0,1098.764744,248.4109452
1771,0,1098.764744,248.4109452
1772,0,1098.764744,248.4109452
1773,0,1098.764744,248.4109452
1774,0,1098.764744,248.4109452
1775,0,1098.764744,248.4109452
1776,0,1098.764744,248.4109452
1777,0,1098.764744,248.4109452
1778,0,1098.764744,248.4109452
1779,0,1098.764744,248.4109452
1780,0,1098.764744,248.4109452
1781,0,1098.764744,248.4109452
1782,0,1098.764744,248.4109452
1783,0,1098.764744,248.4109452
1784,0,1098.764744,248.4109452
1785,0,1098.764744,248.4109452
1786,0,1098.764744,248.4109452
1787,0,1098.764744,248.4109452
1788,0,1098.764744,248.4109452
1789,0,1098.764744,248.4109452
1790,0,1098.764744,248.4109452
1791,0,1098.764744,248.4109452
1792,0,1098.764744,248.4109452
1793,0,1098.764744,248.4109452
1794,0,1098.764744,248.4109452
1795,0,1098.764744,248.4109452
1796,0,1098.764744,248.4109452
1797,0,1098.764744,248.4109452
1798,0,1098.764744,248.4109452
1799,0,1098.764744,248.4109452
1800,0,1098.764744,248.4109452
1801,0,1098.764744,248.4109452
1802,0,1098.764744,248.4109452
1803,0,1098.764744,248.4109452
1804,0,1098.764744,248.4109452
1805,0,1098.764744,248.4109452
1806,0,1098.764744,248.4109452
1807,0,1098.764744,248.4109452
1808,0,1098.764744,248.4109452
1809,0,1098.764744,248.4109452
1810,0,1098.764744,248.4109452
1811,0,1098.764744,248.4109452
1812,0,1098.764744,248.4109452
1813,0,1098.764744,248.4109452
1814,0,1098.764744,248.4109452
1815,0,1098.764744,248.4109452
1816,0,1098.764744,248.4109452
1817,0,1098.764744,248.4109452
1818,0,1098.764744,248.4109452
