时间,城市居民排泄物未还田含磷量,城市居民排泄物进入生活污水的含磷量,农村生活垃圾含磷量,城市生活垃圾含磷量,城市、农村生活污水含磷量,城市未处理生活污水含磷量,城市、农村居民排泄物还田含磷量,农村居民排泄物未还田含磷量
1600,0,0,5831.88,0,3232.560695,0,51605.292,2716.068
1601,0,0,5794.496152,0,3211.839155,0,51274.48883,2698.657307
1602,0,0,5757.11231,0,3191.117611,0,50943.68571,2681.246616
1603,0,0,5719.728462,0,3170.396068,0,50612.88254,2663.835923
1604,0,0,5682.344614,0,3149.674524,0,50282.07937,2646.42523
1605,0,0,5644.960771,0,3128.952981,0,49951.27625,2629.01454
1606,0,0,5607.576924,0,3108.23144,0,49620.47308,2611.603847
1607,0,0,5570.193076,0,3087.509897,0,49289.66992,2594.193153
1608,0,0,5532.809229,0,3066.788353,0,48958.86675,2576.78246
1609,0,0,5495.425386,0,3046.06681,0,48628.06363,2559.37177
1610,0,0,5458.041538,0,3025.345267,0,48297.26046,2541.961077
1611,0,0,5420.65769,0,3004.623724,0,47966.45729,2524.550384
1612,0,0,5383.273848,0,2983.902182,0,47635.65417,2507.139693
1613,0,0,5345.89,0,2963.180639,0,47304.851,2489.729
1614,0,0,5308.506152,0,2942.459096,0,46974.04783,2472.318307
1615,0,0,5271.12231,0,2921.737553,0,46643.24471,2454.907616
1616,0,0,5233.738462,0,2901.01601,0,46312.44154,2437.496923
1617,0,0,5196.354614,0,2880.294467,0,45981.63837,2420.08623
1618,0,0,5158.970771,0,2859.572924,0,45650.83525,2402.67554
1619,0,0,5121.586924,0,2838.851381,0,45320.03208,2385.264847
1620,0,0,5084.203076,0,2818.129838,0,44989.22892,2367.854153
1621,0,0,5046.819229,0,2797.408295,0,44658.42575,2350.44346
1622,0,0,5009.435386,0,2776.686752,0,44327.62263,2333.03277
1623,0,0,4972.051538,0,2755.965209,0,43996.81946,2315.622077
1624,0,0,4934.66769,0,2735.243666,0,43666.01629,2298.211384
1625,0,0,4897.283848,0,2714.522123,0,43335.21317,2280.800693
1626,0,0,4859.9,0,2693.80058,0,43004.41,2263.39
1627,0,0,4831.921556,0,2678.29237,0,42756.83361,2250.359664
1628,0,0,4803.943111,0,2662.784161,0,42509.25722,2237.329328
1629,0,0,4775.964667,0,2647.275951,0,42261.68083,2224.298991
1630,0,0,4747.986223,0,2631.767741,0,42014.10445,2211.268655
1631,0,0,4720.007778,0,2616.259531,0,41766.52806,2198.238319
1632,0,0,4692.029334,0,2600.751321,0,41518.95167,2185.207983
1633,0,0,4664.05089,0,2585.243111,0,41271.37528,2172.177646
1634,0,0,4636.072446,0,2569.734901,0,41023.79889,2159.14731
1635,0,0,4608.094001,0,2554.226691,0,40776.2225,2146.116974
1636,0,0,4580.115557,0,2538.718481,0,40528.64612,2133.086638
1637,0,0,4552.137113,0,2523.210271,0,40281.06973,2120.056301
1638,0,0,4524.158668,0,2507.702061,0,40033.49334,2107.025965
1639,0,0,4496.180224,0,2492.193851,0,39785.91695,2093.995629
1640,0,0,4468.20178,0,2476.685641,0,39538.34056,2080.965293
1641,0,0,4440.223336,0,2461.177431,0,39290.76417,2067.934957
1642,0,0,4412.244891,0,2445.669221,0,39043.18779,2054.90462
1643,0,0,4384.266447,0,2430.161011,0,38795.6114,2041.874284
1644,0,0,4356.288003,0,2414.652802,0,38548.03501,2028.843948
1645,0,0,4328.309558,0,2399.144592,0,38300.45862,2015.813612
