时间,出水形式输入内陆水体的含磷量,污泥形式输输入固废系统的含磷量,污泥形式输入农业种植系统的含磷量
1600,1583.55789,395.650081,0
1601,1573.406878,393.1138626,0
1602,1563.255867,390.5776442,0
1603,1553.104856,388.041426,0
1604,1542.953844,385.5052076,0
1605,1532.802832,382.9689892,0
1606,1522.651821,380.4327708,0
1607,1512.50081,377.8965526,0
1608,1502.349798,375.3603343,0
1609,1492.198787,372.8241159,0
1610,1482.047776,370.2878977,0
1611,1471.896765,367.7516795,0
1612,1461.745755,365.2154613,0
1613,1451.594744,362.6792432,0
1614,1441.443734,360.143025,0
1615,1431.292725,357.6068071,0
1616,1421.141715,355.0705891,0
1617,1410.990706,352.5343712,0
1618,1400.839697,349.9981533,0
1619,1390.688689,347.4619357,0
1620,1380.537681,344.925718,0
1621,1370.386671,342.3894998,0
1622,1360.235661,339.8532818,0
1623,1350.084652,337.317064,0
1624,1339.933644,334.7808462,0
1625,1329.782636,332.2446286,0
1626,1319.631629,329.708411,0
1627,1312.034512,327.8102803,0
1628,1304.437397,325.9121496,0
1629,1296.840282,324.0140192,0
1630,1289.243167,322.1158887,0
1631,1281.646054,320.2177585,0
1632,1274.048941,318.3196285,0
1633,1266.451829,316.4214984,0
1634,1258.854718,314.5233687,0
1635,1251.257608,312.6252391,0
1636,1243.660498,310.7271095,0
1637,1236.063389,308.8289801,0
1638,1228.466281,306.9308509,0
1639,1220.869173,305.0327219,0
1640,1213.272066,303.1345928,0
1641,1205.67496,301.236464,0
1642,1198.077854,299.3383353,0
1643,1190.480749,297.4402066,0
1644,1182.883645,295.5420781,0
1645,1175.286541,293.6439498,0
1646,1167.689438,291.7458214,0
1647,1170.057741,292.3375389,0
1648,1172.426044,292.9292564,0
1649,1174.794347,293.520974,0
1650,1177.162651,294.1126916,0
1651,1179.530956,294.7044094,0
1652,1181.899261,295.2961273,0
1653,1184.267567,295.8878453,0
1654,1186.635873,296.4795633,0
1655,1189.00418,297.0712816,0
1656,1191.372487,297.6629999,0
1657,1193.740795,298.2547182,0
